"Title","Year","Directors"
"Bulhandang",2017,"Byun Sung-Hyun"
"It",2017,"Andy Muschietti"
"The Snowman",2017,"Tomas Alfredson"
"The Killing of a Sacred Deer",2017,"Yorgos Lanthimos"
"Αλπεις",2011,"Yorgos Lanthimos"
"The Help",2011,"Tate Taylor"
"Le Tableau",2011,"Jean-François Laguionie"
"The Holy Mountain",1973,"Alejandro Jodorowsky"
"Naissance des pieuvres",2007,"Céline Sciamma"
"La Jetée",1962,"Chris Marker"
"Κυνόδοντας (Kynodontas)",2009,"Yorgos Lanthimos"
"Ma Loute",2016,"Bruno Dumont"
"L'Enfer d'Henri-Georges Clouzot",2009,"Serge Bromberg, Ruxandra Medrea"
"Relatos Salvajes",2014,"Damián Szifron"
"Crna mačka, beli mačor",1998,"Emir Kusturica"
"La Giovinezza",2015,"Paolo Sorrentino"
"Princes et Princesses",2000,"Michel Ocelot"
"Le Repas dominical",2015,"Céline Devaux"
"200 Motels",1971,"Tony Palmer, Frank Zappa"
"The Shape of Water",2018,"Guillermo del Toro"
"Slaughterhouse Rulez",2018,"Crispian Mills"
"Des hommes et des dieux",2010,"Xavier Beauvois"
"Mission : Impossible - Fallout",2018,"Christopher McQuarrie"
"First Reformed",2018,"Paul Schrader"
"Kimi to, Nami ni Noretara",2019,"Masaaki Yuasa"
"Il Deserto rosso",1964,"Michelangelo Antonioni"
"Werckmeister harmóniák",2000,"Béla Tarr, Agnes Hranitzky"
"Soy Cuba",1964,"Mikhail Kalatozov"
"La Maman et la Putain",1973,"Jean Eustache"
"Que ma joie demeure !",2012,"Jean-Christophe Hembert"
"Pierrot le fou",1965,"Jean-Luc Godard"
"My Little Princess",2011,"Eva Ionesco"
"Hanyeo",2010,"Im Sang-soo"
"Der Himmel über Berlin",1987,"Wim Wenders"
"Shin Gojira",2016,"Hideaki Anno, Shinji Higuchi"
"Angst",1983,"Gerald Kargl"
"Man jeuk",2008,"Johnnie To"
"A Serious Man",2009,"Joel Coen, Ethan Coen"
"Ouvrir la voix",2017,"Amandine Gay"
"America",2018,"Claus Drexel"
"Le Dernier Métro",1980,"François Truffaut"
"Play it Again, Sam",1972,"Herbert Ross"
"Bai Ri Yan Huo",2014,"Diao Yi'nan"
"Tabu",2012,"Miguel Gomes"
"Efter Brylluppet",2007,"Susanne Bier"
"Caché",2005,"Michael Haneke"
"En Kongelig Affære",2012,"Nikolaj Arcel"
"L'Enfant",2005,"Jean-Pierre Dardenne, Luc Dardenne"
"Cabeza de Vaca",1991,"Nicolás Echevarría"
"Dôruzu",2003,"Takeshi Kitano"
"Zui hao de shi guang",2005,"Hou Hsiao-Hsien"
"La Meglio gioventu",2003,"Marco Tullio Giordana"
"Höstsonaten",1978,"Ingmar Bergman"
